# 𝙵𝙾𝚁𝙼𝙰𝚃 𝚘𝚛𝚐.𝚊𝚝𝚎𝚕𝚒𝚎𝚛𝙸𝚗𝚖𝚞.𝚟𝚌𝚑𝚎𝚠𝚒𝚗𝚐.𝚞𝚜𝚎𝚛𝙻𝚊𝚗𝚐𝚞𝚊𝚐𝚎𝙼𝚘𝚍𝚎𝚕𝙳𝚊𝚝𝚊.𝚏𝚘𝚛𝚖𝚊𝚝𝚝𝚎𝚍
一風堂 ㄧˋ-ㄈㄥ-ㄊㄤˊ
一條根 ㄧˋ-ㄊㄧㄠˊ-ㄍㄣ
一間 ㄧˋ-ㄐㄧㄢ #𝙾𝚟𝚎𝚛𝚛𝚒𝚍𝚎
一零四 ㄧ-ㄌㄧㄥˊ-ㄙˋ
一鍵 ㄧˊ-ㄐㄧㄢˋ
一蘭 ㄧˋ-ㄌㄢˊ
九乘九 ㄐㄧㄡˇ-ㄔㄥˊ-ㄐㄧㄡˇ
人機 ㄖㄣˊ-ㄐㄧ
十鼓 ㄕˊ-ㄍㄨˇ
十銓 ㄕˊ-ㄑㄩㄢˊ
三井 ㄙㄢ-ㄐㄧㄥˇ
三商巧福 ㄙㄢ-ㄕㄤ-ㄑㄧㄠˇ-ㄈㄨˊ
三創 ㄙㄢ-ㄔㄨㄤˋ
三麗鷗 ㄙㄢ-ㄌㄧˋ-ㄡ
上式 ㄕㄤˋ-ㄕˋ
上電 ㄕㄤˋ-ㄉㄧㄢˋ
下線標定 ㄒㄧㄚˋ-ㄒㄧㄢˋ-ㄅㄧㄠ-ㄉㄧㄥˋ
丸莊 ㄨㄢˊ-ㄓㄨㄤ
丸龜 ㄨㄢˊ-ㄍㄨㄟ
久記 ㄐㄧㄡˇ-ㄐㄧˋ
大佳 ㄉㄚˋ-ㄐㄧㄚ
大和家 ㄉㄚˋ-ㄏㄜˊ-ㄐㄧㄚ
大昌 ㄉㄚˋ-ㄔㄤ
大苑子 ㄉㄚˋ-ㄩㄢˋ-ㄗˇ
大眾池 ㄉㄚˋ-ㄓㄨㄥˋ-ㄔˊ
大創 ㄉㄚˋ-ㄔㄨㄤˋ
大腸頭 ㄉㄚˋ-ㄔㄤˊ-ㄊㄡˊ
大魯閣 ㄉㄚˋ-ㄌㄨˇ-ㄍㄜˊ
大疆 ㄉㄚˋ-ㄐㄧㄤ
小咪 ㄒㄧㄠˇ-ㄇㄧ
小潘 ㄒㄧㄠˇ-ㄆㄢ
小雞麵 ㄒㄧㄠˇ-ㄐㄧ-ㄇㄧㄢˋ
山頂鳥 ㄕㄢ-ㄉㄧㄥˇ-ㄋㄧㄠˇ
工坊 ㄍㄨㄥ-ㄈㄤˇ
工研 ㄍㄨㄥ-ㄧㄢˊ
已讀不回 ㄧˇ-ㄉㄨˊ-ㄅㄨˋ-ㄏㄨㄟˊ
不二緻果 ㄅㄨˊ-ㄦˋ-ㄓˋ-ㄍㄨㄛˇ
不可逆 ㄅㄨˋ-ㄎㄜˇ-ㄋㄧˋ
不急 ㄅㄨˋ-ㄐㄧˊ #𝙾𝚟𝚎𝚛𝚛𝚒𝚍𝚎
不甜 ㄅㄨˋ-ㄊㄧㄢˊ
不累 ㄅㄨˊ-ㄌㄟˋ
不讀 ㄅㄨˋ-ㄉㄨˊ #𝙾𝚟𝚎𝚛𝚛𝚒𝚍𝚎
中芯 ㄓㄨㄥ-ㄒㄧㄣ
中信金 ㄓㄨㄥ-ㄒㄧㄣˋ-ㄐㄧㄣ
中軌 ㄓㄨㄥ-ㄍㄨㄟˇ
中祥 ㄓㄨㄥ-ㄒㄧㄤˊ
中資 ㄓㄨㄥ-ㄗ
中嘉 ㄓㄨㄥ-ㄐㄧㄚ
中離 ㄓㄨㄥ-ㄌㄧˊ
丹丹 ㄉㄢ-ㄉㄢ
五十嵐 ㄨˇ-ㄕˊ-ㄌㄢˊ
五辛素 ㄨˇ-ㄒㄧㄣ-ㄙㄨˋ
五桐號 ㄨˇ-ㄊㄨㄥˊ-ㄏㄠˋ
仁寶 ㄖㄣˊ-ㄅㄠˇ
介電 ㄐㄧㄝˋ-ㄉㄧㄢˋ
元大金 ㄩㄢˊ-ㄉㄚˋ-ㄐㄧㄣ
元宇宙 ㄩㄢˊ-ㄩˇ-ㄓㄡˋ
元晶 ㄩㄢˊ-ㄐㄧㄥ
內網 ㄋㄟˋ-ㄨㄤˇ
公版 ㄍㄨㄥ-ㄅㄢˇ
公爵菓子 ㄍㄨㄥ-ㄐㄩㄝˊ-ㄍㄨㄛˇ-ㄗ˙
分集 ㄈㄣ-ㄐㄧˊ #𝙾𝚟𝚎𝚛𝚛𝚒𝚍𝚎
分辨率 ㄈㄣ-ㄅㄧㄢˋ-ㄌㄩˋ
勻加速度 ㄩㄣˊ-ㄐㄧㄚ-ㄙㄨˋ-ㄉㄨˋ
勻速 ㄩㄣˊ-ㄙㄨˋ
勾惡 ㄍㄡ-ㄜˋ
化銀 ㄏㄨㄚˋ-ㄧㄣˊ
化簡 ㄏㄨㄚˋ-ㄐㄧㄢˇ
友立 ㄧㄡˇ-ㄌㄧˋ
友訊 ㄧㄡˇ-ㄒㄩㄣˋ
友達 ㄧㄡˇ-ㄉㄚˊ
反射傘 ㄈㄢˇ-ㄕㄜˋ-ㄙㄢˇ
反矩陣 ㄈㄢˇ-ㄐㄩˇ-ㄓㄣˋ
天菜 ㄊㄧㄢ-ㄘㄞˋ
天線罩 ㄊㄧㄢ-ㄒㄧㄢˋ-ㄓㄠˋ
天璣 ㄊㄧㄢ-ㄐㄧ #𝙾𝚟𝚎𝚛𝚛𝚒𝚍𝚎
天貓 ㄊㄧㄢ-ㄇㄠ
太妃 ㄊㄞˋ-ㄈㄟ
太星電工 ㄊㄞˋ-ㄒㄧㄥ-ㄉㄧㄢˋ-ㄍㄨㄥ
太軟 ㄊㄞˋ-ㄖㄨㄢˇ
太陽雨 ㄊㄞˋ-ㄧㄤˊ-ㄩˇ
少子化 ㄕㄠˇ-ㄗˇ-ㄏㄨㄚˋ
屯京 ㄊㄨㄣˊ-ㄐㄧㄥ
巴克里 ㄅㄚ-ㄎㄜˋ-ㄌㄧˇ
巴克豪森 ㄅㄚ-ㄎㄜˋ-ㄏㄠˊ-ㄙㄣ
巴龍 ㄅㄚ-ㄌㄨㄥˊ
心之和 ㄒㄧㄣ-ㄓ-ㄏㄜˊ
手工皂 ㄕㄡˇ-ㄍㄨㄥ-ㄗㄠˋ
手持式 ㄕㄡˇ-ㄔˊ-ㄕˋ
手搖飲 ㄕㄡˇ-ㄧㄠˊ-ㄧㄣˇ
支臂 ㄓ-ㄅㄧˋ
文青 ㄨㄣˊ-ㄑㄧㄥ
文燦 ㄨㄣˊ-ㄘㄢˋ
日出茶太 ㄖˋ-ㄔㄨ-ㄔㄚˊ-ㄊㄞˋ
日清 ㄖˋ-ㄑㄧㄥ
日統 ㄖˋ-ㄊㄨㄥˇ
月繳 ㄩㄝˋ-ㄐㄧㄠˇ
木侖 ㄇㄨˋ-ㄌㄨㄣˊ
木屑砂 ㄇㄨˋ-ㄒㄧㄝˋ-ㄕㄚ
木糖醇 ㄇㄨˋ-ㄊㄤˊ-ㄔㄨㄣˊ
止汗 ㄓˇ-ㄏㄢˋ
止汗劑 ㄓˇ-ㄏㄢˋ-ㄐㄧˋ
止滑 ㄓˇ-ㄏㄨㄚˊ
比特幣 ㄅㄧˇ-ㄊㄜˋ-ㄅㄧˋ
比較器 ㄅㄧˇ-ㄐㄧㄠˋ-ㄑㄧˋ
水交社 ㄕㄨㄟˇ-ㄐㄧㄠ-ㄕㄜˋ
水蒸式 ㄕㄨㄟˇ-ㄓㄥ-ㄕˋ
牙周適 ㄧㄚˊ-ㄓㄡ-ㄕˋ
王罔 ㄨㄤˊ-ㄨㄤˇ
王博 ㄨㄤˊ-ㄅㄛˊ
世足 ㄕˋ-ㄗㄨˊ
世衛 ㄕˋ-ㄨㄟˋ
他牌 ㄊㄚ-ㄆㄞˊ
